Software Version:	2.0.6470.17062
Unit SN:	AIO-M72-0210
Spectrometer SN:	5335
Date:	10/23/2018 10:38:33 AM
Data Line Index:	25
Spectral Points:	1941
Integration time (ms):	1000
Averages:	20
Delay (ms):	0
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	741
Laser Diode Temp (C):	25
Laser Case Temp (C):	30.5
System Temp (C):	31.6
Spectrometer Temp (C):	28.6
CCD Temp (C):	0
Secondary Temp (C):	20.006
Heatsink Temp (C):	28.857
CCDPCB Temp (C):	47.023
SecondaryPCB Temp (C):	37.997

Wavelength	RamanShift	Raw Counts	Dark Subtracted
801.1299	250.3411	4319.75	3286.5
801.2731	252.571	4249.5	3222
801.4162	254.8003	4200.35	3167.65
801.5594	257.0291	4204.25	3088.6
801.7026	259.2572	4087.35	3026.35
801.8458	261.4848	4017.8	2969.55
801.989	263.7118	3934	2898.95
802.1322	265.9382	3886.7	2841.5
802.2755	268.1641	3829.35	2785.05
802.4187	270.3894	3786.85	2742.85
802.562	272.6141	3735.4	2688.65
802.7053	274.8382	3669	2622.95
802.8486	277.0617	3626.35	2581.5
802.9919	279.2847	3569.45	2530.95
803.1352	281.5071	3540.05	2486.8
803.2785	283.7289	3499.05	2442.55
803.4219	285.9501	3439.55	2392.3
803.5652	288.1707	3404.25	2350.05
803.7086	290.3908	3385.6	2330.95
803.852	292.6103	3350.9	2296.15
803.9954	294.8292	3328.8	2273.25
804.1388	297.0475	3316	2240.3
804.2823	299.2652	3289.2	2220.4
804.4257	301.4823	3264.85	2198.05
804.5692	303.6989	3244.85	2177.25
804.7126	305.9148	3227.7	2159.35
804.8561	308.1302	3193.3	2125.75
804.9996	310.345	3186.05	2117.65
805.1431	312.5592	3152.45	2088.75
805.2867	314.7728	3146.3	2079.65
805.4302	316.9859	3139.35	2058.35
805.5738	319.1983	3120.1	2045.55
805.7173	321.4101	3120.2	2043.35
805.8609	323.6214	3136.45	2040.9
806.0045	325.832	3103.7	2018.6
806.1481	328.0421	3102.7	2023.75
806.2917	330.2516	3087.45	2000.85
806.4353	332.4605	3085.95	2006
806.579	334.6688	3093.5	2001.8
806.7226	336.8764	3080.15	1998.5
806.8663	339.0835	3077.65	2000.7
807.01	341.2901	3097.1	2007
807.1536	343.496	3100.25	2003
807.2973	345.7013	3096.3	2008.95
807.4411	347.906	3097.2	2008
807.5848	350.1101	3144.15	2057.8
807.7285	352.3136	3231.75	2136.85
807.8723	354.5165	3282.25	2190.65
808.016	356.7188	3281.6	2185.65
808.1598	358.9206	3205.55	2107.45
808.3036	361.1217	3150.5	2051.85
808.4474	363.3222	3120.05	2017.8
808.5912	365.5221	3114.45	2011.55
808.735	367.7214	3108.5	2008.65
808.8788	369.9201	3117.9	1995
809.0227	372.1182	3097.65	1987.25
809.1665	374.3157	3123.2	2016.95
809.3104	376.5126	3174.65	2065.05
809.4543	378.7089	3188.75	2083.65
809.5982	380.9046	3186.45	2065.55
809.7421	383.0997	3132.45	2028.75
809.886	385.2941	3110.45	2002.35
810.0299	387.488	3077.2	1973.15
810.1739	389.6813	3072.2	1975.1
810.3178	391.8739	3068.25	1964.5
810.4618	394.0659	3063.5	1956.55
810.6057	396.2574	3075.9	1966.4
810.7497	398.4482	3058.1	1945.8
810.8937	400.6384	3067.2	1947.5
811.0377	402.828	3089.65	1979.7
811.1817	405.017	3100.85	1973.95
811.3257	407.2054	3115.95	1997.7
811.4698	409.3931	3133.4	2026.15
811.6138	411.5803	3234.75	2113.85
811.7579	413.7668	3497.8	2374.8
811.9019	415.9527	3829.65	2702.55
812.046	418.138	3898.05	2772.35
812.1901	420.3227	3647.9	2523.35
812.3342	422.5068	3395.9	2236.35
812.4783	424.6903	3233.55	2105.1
812.6224	426.8731	3178.05	2057.7
812.7666	429.0553	3162.35	2044.25
812.9107	431.2369	3210.85	2046.9
813.0549	433.4179	3154.8	2011.05
813.199	435.5983	3097.35	1980.3
813.3432	437.7781	3078.45	1964.45
813.4874	439.9572	3063.05	1944.4
813.6316	442.1357	3059.2	1944.45
813.7758	444.3136	3062.4	1939.9
813.92	446.4909	3092.55	1971.5
814.0642	448.6675	3153.3	1987.9
814.2084	450.8435	3126.45	1991.35
814.3527	453.0189	3073.1	1948.1
814.4969	455.1937	3054.1	1927.25
814.6412	457.3679	3040.5	1921.7
814.7854	459.5414	3032.1	1912.75
814.9297	461.7143	3045.65	1914.7
815.074	463.8866	3039.8	1916.05
815.2183	466.0582	3032.25	1903.1
815.3626	468.2293	3028.05	1895
815.5069	470.3997	3008.55	1881.45
815.6513	472.5694	3025.4	1885.5
815.7956	474.7386	3005.1	1867.6
815.9399	476.9071	2999.45	1865.4
816.0843	479.075	3035.2	1866.15
816.2287	481.2423	3001.65	1852.15
816.373	483.4089	2980.25	1848.75
816.5174	485.5749	2990.3	1847.25
816.6618	487.7403	3020.7	1855.25
816.8062	489.905	2981.6	1839.65
816.9506	492.0691	2968.15	1829.05
817.095	494.2326	2966.55	1834.4
817.2395	496.3954	2956.4	1825
817.3839	498.5576	2924.75	1788
817.5283	500.7192	2933.8	1795.55
817.6728	502.8801	2923.15	1782.75
817.8173	505.0405	2921.05	1771.2
817.9617	507.2001	2913.9	1772.9
818.1062	509.3592	2907.6	1769.05
818.2507	511.5176	2900.65	1750
818.3952	513.6753	2916.7	1738.6
818.5397	515.8325	2896.25	1751.45
818.6842	517.9889	2882.9	1741.55
818.8287	520.1448	2869.7	1731.55
818.9733	522.3	2882.45	1719.4
819.1178	524.4546	2879.2	1725.15
819.2623	526.6085	2853.85	1705.8
819.4069	528.7618	2857.3	1704.8
819.5514	530.9145	2861.55	1709.7
819.696	533.0665	2834.6	1690.85
819.8406	535.2179	2862.4	1699.05
819.9852	537.3686	2838.15	1685.55
820.1298	539.5187	2852.75	1685.05
820.2744	541.6682	2831.6	1681.15
820.419	543.817	2822.05	1667.4
820.5636	545.9651	2841.15	1675.05
820.7082	548.1126	2814.25	1661.05
820.8528	550.2595	2816.1	1652.5
820.9975	552.4058	2810.65	1641.3
821.1421	554.5513	2809.35	1652.55
821.2868	556.6963	2814.45	1651
821.4314	558.8406	2818.65	1650.5
821.5761	560.9842	2813.6	1651.65
821.7208	563.1272	2804.25	1651.55
821.8655	565.2696	2809.95	1651.9
822.0102	567.4113	2805.55	1653.15
822.1549	569.5524	2808.5	1661.35
822.2996	571.6928	2838.5	1686.25
822.4443	573.8325	2897.4	1743.2
822.589	575.9717	2977.3	1795.55
822.7337	578.1101	2986.85	1816.35
822.8785	580.2479	2968.45	1804.55
823.0232	582.3851	3018.55	1855.7
823.1679	584.5216	3165	1996.3
823.3127	586.6575	3335.15	2163.15
823.4574	588.7927	3319.25	2137.2
823.6022	590.9272	3123	1961.55
823.747	593.0611	2968.25	1799.05
823.8918	595.1944	2872.6	1707.6
824.0366	597.327	2838.45	1670.85
824.1813	599.4589	2801.8	1641.1
824.3261	601.5902	2793.95	1629.05
824.4709	603.7208	2772.3	1603.05
824.6158	605.8508	2772.1	1607.35
824.7606	607.9802	2773.35	1604.5
824.9054	610.1088	2760.6	1599.7
825.0502	612.2368	2758.25	1589.75
825.1951	614.3642	2752.65	1590.05
825.3399	616.4909	2747.6	1581.05
825.4848	618.6169	2741.45	1558.4
825.6296	620.7423	2716.45	1540.95
825.7745	622.867	2704.1	1540.2
825.9193	624.9911	2691.9	1528.95
826.0642	627.1145	2692.5	1522.15
826.2091	629.2372	2692.45	1518.9
826.354	631.3593	2741.1	1514.2
826.4989	633.4807	2709.3	1519.8
826.6438	635.6015	2743.4	1504.95
826.7887	637.7216	2691	1511.5
826.9336	639.841	2676.9	1514.2
827.0785	641.9598	2667.8	1502.05
827.2234	644.0779	2663.1	1496.8
827.3683	646.1954	2665.75	1495.75
827.5132	648.3122	2665.7	1493.3
827.6582	650.4283	2650.45	1480.9
827.8031	652.5438	2658.15	1475.7
827.9481	654.6585	2648.6	1471.35
828.093	656.7727	2648.85	1471.4
828.238	658.8861	2644.35	1456.6
828.3829	660.9989	2648.25	1462.7
828.5279	663.1111	2646.45	1463.05
828.6728	665.2225	2638.45	1452.85
828.8178	667.3333	2632.7	1455.55
828.9628	669.4435	2632.5	1445.55
829.1078	671.5529	2641.8	1444.4
829.2528	673.6617	2620.05	1442.9
829.3978	675.7699	2618.3	1437.3
829.5428	677.8773	2642.35	1457.65
829.6878	679.9841	2637.75	1455.05
829.8328	682.0902	2633.7	1458.35
829.9778	684.1957	2643.35	1464.9
830.1228	686.3005	2654.75	1475.65
830.2678	688.4046	2660.95	1473.85
830.4128	690.508	2665.75	1485.15
830.5579	692.6108	2688.8	1494.8
830.7029	694.7129	2683.5	1497.1
830.8479	696.8143	2688.3	1494.55
830.993	698.9151	2680.6	1498.35
831.138	701.0152	2679.15	1495.15
831.2831	703.1146	2689.9	1507.7
831.4281	705.2133	2674.9	1498.25
831.5732	707.3114	2690.55	1502.1
831.7183	709.4087	2691.35	1515.7
831.8633	711.5054	2689.9	1500.55
832.0084	713.6015	2676.55	1491.15
832.1535	715.6968	2661.5	1481
832.2985	717.7915	2641.35	1465.85
832.4436	719.8855	2632.5	1455.45
832.5887	721.9789	2620.15	1440.55
832.7338	724.0715	2612.7	1426.35
832.8789	726.1635	2590.25	1409.4
833.024	728.2548	2582.85	1398.05
833.1691	730.3454	2590.1	1398.9
833.3142	732.4354	2600.1	1391.6
833.4593	734.5246	2587.8	1396.9
833.6044	736.6132	2593.35	1406.45
833.7495	738.7011	2594.65	1412.3
833.8946	740.7884	2614.3	1433.55
834.0398	742.8749	2642.5	1469
834.1849	744.9608	2689.75	1509.85
834.33	747.046	2739.35	1561.45
834.4751	749.1305	2784.9	1596.85
834.6203	751.2143	2789.55	1596
834.7654	753.2974	2735.4	1554.1
834.9105	755.3799	2674.75	1487.15
835.0557	757.4617	2607.7	1426.8
835.2008	759.5428	2576.3	1389.1
835.346	761.6232	2538.6	1353.15
835.4911	763.7029	2518.95	1328.7
835.6363	765.782	2502.05	1313.65
835.7814	767.8603	2468.95	1284.05
835.9266	769.938	2467.65	1280.85
836.0717	772.015	2463.8	1269.15
836.2169	774.0913	2454	1263.3
836.3621	776.1669	2441	1253.6
836.5072	778.2419	2436.4	1243
836.6524	780.3161	2423.85	1237.25
836.7976	782.3897	2432.95	1249.4
836.9428	784.4625	2493.05	1243.6
837.0879	786.5347	2440.25	1236.9
837.2331	788.6062	2449.65	1237.45
837.3783	790.6771	2420.75	1226.3
837.5235	792.7472	2419.75	1218.9
837.6687	794.8166	2427.8	1216
837.8138	796.8854	2398.9	1207.05
837.959	798.9534	2390.8	1198.35
838.1042	801.0208	2393.1	1198.85
838.2494	803.0875	2390.15	1201.3
838.3946	805.1535	2385.1	1198.15
838.5398	807.2188	2381.1	1191.35
838.685	809.2834	2389.55	1200.15
838.8302	811.3473	2414.4	1221.5
838.9754	813.4106	2437.35	1257.95
839.1206	815.4731	2435.65	1252.75
839.2658	817.5349	2406.3	1215.2
839.411	819.5961	2374.45	1178.75
839.5562	821.6566	2346.35	1153.5
839.7014	823.7163	2331.55	1140.35
839.8467	825.7754	2344.95	1136.95
839.9919	827.8338	2324.35	1122.6
840.1371	829.8915	2316.05	1123.95
840.2823	831.9485	2306.85	1118.1
840.4275	834.0048	2317	1118.05
840.5727	836.0604	2303.2	1101.85
840.7179	838.1153	2284.2	1089.3
840.8632	840.1695	2285.05	1097.85
841.0084	842.2231	2307.1	1102.15
841.1536	844.2759	2283.55	1085.3
841.2988	846.328	2279.15	1074.85
841.444	848.3795	2277.05	1083.5
841.5893	850.4302	2257.65	1065.55
841.7345	852.4802	2256.95	1061.35
841.8797	854.5296	2268.6	1070.65
842.0249	856.5782	2253.3	1050.05
842.1702	858.6262	2244.95	1048.75
842.3154	860.6734	2241.1	1044.5
842.4606	862.72	2233.9	1039.45
842.6058	864.7658	2227.6	1033.05
842.7511	866.811	2231.5	1031.8
842.8963	868.8555	2215.6	1014.2
843.0415	870.8992	2204.7	1013
843.1868	872.9423	2206.95	1007.9
843.332	874.9846	2197.85	993.25
843.4772	877.0263	2194	995.6
843.6225	879.0672	2174.3	980.3
843.7677	881.1075	2185.15	980.65
843.9129	883.1471	2181.95	982.5
844.0581	885.1859	2176	973.6
844.2034	887.2241	2170	978
844.3486	889.2615	2151.75	961.6
844.4938	891.2983	2156.35	964.85
844.6391	893.3343	2135	948.85
844.7843	895.3696	2144.65	954.4
844.9295	897.4043	2154.8	949.25
845.0747	899.4382	2144.45	944.6
845.22	901.4715	2135.25	930.2
845.3652	903.504	2135.45	927.2
845.5104	905.5358	2129.35	929.95
845.6557	907.5669	2123	924.4
845.8009	909.5973	2121.45	922.5
845.9461	911.6271	2156.25	919.15
846.0913	913.6561	2136.5	911.6
846.2366	915.6844	2112.6	911.2
846.3818	917.7119	2104.7	905.05
846.527	919.7388	2111.3	907.95
846.6722	921.765	2095.15	894.8
846.8175	923.7905	2156.1	888.9
846.9627	925.8153	2120.15	893.35
847.1079	927.8393	2085.6	887.6
847.2531	929.8627	2090.9	887.65
847.3983	931.8853	2096.65	896.35
847.5436	933.9073	2086.2	893.8
847.6888	935.9285	2078.4	883.45
847.834	937.949	2074.7	884.05
847.9792	939.9688	2077.35	875.85
848.1244	941.9879	2082.9	873.2
848.2696	944.0063	2068.3	863.4
848.4148	946.024	2079	865.25
848.56	948.041	2060.35	857.55
848.7052	950.0573	2063.6	861.55
848.8504	952.0728	2080.65	861.9
848.9957	954.0877	2056.05	848.6
849.1409	956.1018	2049.45	848.85
849.2861	958.1152	2051.95	847.75
849.4313	960.1279	2041.65	846.05
849.5765	962.1399	2041.2	837.75
849.7216	964.1512	2041.95	841.95
849.8668	966.1618	2039.6	833.8
850.012	968.1717	2059.4	838.45
850.1572	970.1808	2041.05	837.85
850.3024	972.1893	2032.75	827.5
850.4476	974.197	2039.15	835.95
850.5928	976.204	2021.95	825.75
850.738	978.2103	2021.25	821.75
850.8831	980.2159	2030.3	828.65
851.0283	982.2208	2029.55	815.75
851.1735	984.2249	2049.45	823.5
851.3187	986.2284	2034.4	831
851.4638	988.2311	2071.55	826.15
851.609	990.2331	2042.7	822.6
851.7542	992.2344	2044.15	826.95
851.8993	994.235	2042.95	816.95
852.0445	996.2349	2036.5	821.9
852.1897	998.2341	2024.7	817.7
852.3348	1000.2325	2038.5	821.6
852.48	1002.2302	2023.55	818.05
852.6251	1004.2272	2020.95	825.55
852.7703	1006.2235	2022.9	817.05
852.9154	1008.2191	2026.75	828.9
853.0606	1010.214	2025.3	819.8
853.2057	1012.2081	2025.95	821.8
853.3508	1014.2015	2017.8	818.8
853.496	1016.1942	2025.55	821.95
853.6411	1018.1862	2025.75	820.4
853.7862	1020.1775	2037.65	814.3
853.9314	1022.168	2041.9	823.55
854.0765	1024.1579	2026.8	819.75
854.2216	1026.147	2037.95	832.25
854.3667	1028.1354	2040.45	832.1
854.5118	1030.1231	2038	834.15
854.657	1032.11	2074.75	869.2
854.8021	1034.0963	2091.35	887.25
854.9472	1036.0818	2084.45	884.65
855.0923	1038.0666	2059	854.3
855.2374	1040.0507	2045.3	838.4
855.3825	1042.034	2052.65	837.05
855.5275	1044.0166	2036.8	830.95
855.6726	1045.9986	2032.4	829.1
855.8177	1047.9798	2033.55	827.15
855.9628	1049.9602	2030.35	833.3
856.1079	1051.94	2032.5	826.35
856.2529	1053.919	2020.65	817.9
856.398	1055.8973	2034.5	831.85
856.5431	1057.8749	2027.65	813.6
856.6881	1059.8518	2033.1	821.8
856.8332	1061.8279	2027.2	813.25
856.9782	1063.8033	2023.95	809.3
857.1233	1065.778	2011.55	805.9
857.2683	1067.752	2012.35	808.1
857.4134	1069.7253	2045.05	802.5
857.5584	1071.6978	2025.65	803.3
857.7034	1073.6696	2009.35	804.75
857.8485	1075.6407	2003.75	799.65
857.9935	1077.611	1999.3	786.5
858.1385	1079.5806	1998.45	793
858.2835	1081.5496	1984.35	781.8
858.4285	1083.5177	1975.7	768.05
858.5736	1085.4852	1983.65	769.95
858.7186	1087.4519	1980.65	772.75
858.8635	1089.4179	1989.35	772.55
859.0085	1091.3832	1980.75	767.35
859.1535	1093.3478	1990.15	769.9
859.2985	1095.3116	1977	770.55
859.4435	1097.2747	1978.4	768.05
859.5885	1099.2371	1967.15	767.65
859.7334	1101.1987	1961.15	755.8
859.8784	1103.1596	1978.15	769.1
860.0234	1105.1198	1968.05	759.9
860.1683	1107.0793	1970.25	755.2
860.3133	1109.0381	1967.35	758.75
860.4582	1110.9961	1984.45	747.5
860.6031	1112.9534	1959.3	741.25
860.7481	1114.9099	1966.85	753.4
860.893	1116.8658	1967.4	755
861.0379	1118.8209	2020.2	750.45
861.1829	1120.7752	1980.85	754.85
861.3278	1122.7289	1963.5	759
861.4727	1124.6818	1962.7	760.65
861.6176	1126.634	1961.55	753.55
861.7625	1128.5855	1955.05	753.3
861.9074	1130.5362	1956.45	752.05
862.0523	1132.4862	1962.9	756.05
862.1971	1134.4355	1968.25	753.35
862.342	1136.384	1967	757.05
862.4869	1138.3318	1962.8	757.8
862.6318	1140.2789	1968.2	755.85
862.7766	1142.2253	1963.6	760.55
862.9215	1144.1709	1965.05	754.55
863.0663	1146.1158	1965.9	759.25
863.2112	1148.0599	2006.45	759.6
863.356	1150.0034	1974.7	755.9
863.5008	1151.9461	1965.45	760.75
863.6456	1153.888	1965.65	755.65
863.7905	1155.8293	1959.05	751.75
863.9353	1157.7698	1978	760.6
864.0801	1159.7096	1971.2	750.8
864.2249	1161.6486	1964.05	752.85
864.3697	1163.5869	1968.5	764.65
864.5145	1165.5245	1967	762.75
864.6592	1167.4613	1972.75	768.55
864.804	1169.3975	1962.7	765.1
864.9488	1171.3328	1978.35	782.35
865.0935	1173.2675	1980.2	777.35
865.2383	1175.2014	1990.7	784.35
865.3831	1177.1346	1994.05	778
865.5278	1179.067	1996.45	786.05
865.6725	1180.9988	2012.65	793.25
865.8173	1182.9297	2011.1	803.95
865.962	1184.86	2016.15	800.1
866.1067	1186.7895	2016.65	806
866.2514	1188.7183	2033.4	820.25
866.3961	1190.6463	2040.35	822.1
866.5408	1192.5737	2049.8	830.15
866.6855	1194.5002	2047	839.7
866.8302	1196.4261	2046.85	839.3
866.9749	1198.3512	2070.2	856.45
867.1195	1200.2756	2069.25	861.15
867.2642	1202.1992	2078.7	866.15
867.4088	1204.1221	2093.45	871.15
867.5535	1206.0443	2098.85	879.1
867.6981	1207.9657	2119.1	882.65
867.8428	1209.8864	2122.1	892.95
867.9874	1211.8064	2122.7	892
868.132	1213.7256	2116.5	892.9
868.2766	1215.6441	2111.2	897.7
868.4212	1217.5618	2112.65	895.85
868.5658	1219.4789	2117.4	902.15
868.7104	1221.3951	2104.55	891.2
868.855	1223.3107	2104.25	893.05
868.9996	1225.2255	2096.2	888.55
869.1441	1227.1396	2096.9	884.5
869.2887	1229.0529	2097.5	884.05
869.4333	1230.9655	2081.2	866.4
869.5778	1232.8773	2083.2	865.95
869.7223	1234.7885	2082.2	864.05
869.8669	1236.6989	2080.55	854.6
870.0114	1238.6085	2065.9	850
870.1559	1240.5174	2061.3	844.1
870.3004	1242.4256	2061.9	842.6
870.4449	1244.333	2058.05	843.25
870.5894	1246.2397	2045.7	835.05
870.7339	1248.1457	2028.9	822.3
870.8783	1250.0509	2034.25	820.3
871.0228	1251.9554	2028.8	814.45
871.1673	1253.8591	2032.1	819.65
871.3117	1255.7621	2016.2	802.45
871.4562	1257.6644	2036.5	817.7
871.6006	1259.5659	2032.55	822.9
871.745	1261.4667	2031.75	827.4
871.8894	1263.3667	2046.8	840.5
872.0338	1265.266	2043.1	835.8
872.1782	1267.1646	2057.6	850.4
872.3226	1269.0624	2077.05	868.35
872.467	1270.9595	2094.9	873.55
872.6114	1272.8558	2113.45	877.7
872.7557	1274.7514	2107.8	884.75
872.9001	1276.6463	2102.7	888.1
873.0444	1278.5404	2082	867.7
873.1888	1280.4338	2075.5	859.6
873.3331	1282.3264	2056.65	848.4
873.4774	1284.2183	2056.3	843.9
873.6217	1286.1095	2040.5	827.35
873.7661	1287.9999	2026.65	808.35
873.9103	1289.8896	1998.45	789.5
874.0546	1291.7785	1980	774.55
874.1989	1293.6667	1983.55	764.7
874.3432	1295.5542	1974.15	759
874.4874	1297.4409	1970.6	751.15
874.6317	1299.3269	1965.5	749.05
874.7759	1301.2121	1958.6	735.95
874.9202	1303.0966	1961.8	743.25
875.0644	1304.9803	1959.1	746.15
875.2086	1306.8633	1955.85	742.75
875.3528	1308.7456	1952.4	739.25
875.497	1310.6271	1942	727.25
875.6412	1312.5079	1940.2	729.25
875.7853	1314.3879	1947.5	736.9
875.9295	1316.2672	1944.35	729.5
876.0737	1318.1458	1949.5	731.3
876.2178	1320.0236	1941.25	728.25
876.3619	1321.9006	1942.85	726.65
876.5061	1323.7769	1936	715.95
876.6502	1325.6525	1938.3	726.3
876.7943	1327.5273	1937.45	725.1
876.9384	1329.4014	1943	732.45
877.0825	1331.2748	1936.8	729.65
877.2266	1333.1474	1945.25	727.8
877.3706	1335.0192	1936.45	725.85
877.5147	1336.8903	1939.85	731.9
877.6587	1338.7607	1935.8	721.15
877.8028	1340.6303	1949.05	739.35
877.9468	1342.4992	1954	743.85
878.0908	1344.3674	1965.45	750.4
878.2348	1346.2348	1973.6	763.75
878.3788	1348.1014	1977.85	766.15
878.5228	1349.9673	1985.4	773.9
878.6668	1351.8325	1995.85	776.9
878.8108	1353.6969	2003.65	783.45
878.9547	1355.5606	1998.9	783.55
879.0987	1357.4235	2010.7	794.85
879.2426	1359.2857	1995.15	780.05
879.3865	1361.1471	2007.05	789.3
879.5304	1363.0078	2029.8	795.4
879.6743	1364.8677	2029.05	809.4
879.8182	1366.7269	2039.65	832.15
879.9621	1368.5854	2065.35	856.45
880.106	1370.4431	2098.35	883.65
880.2498	1372.3	2142.05	914.15
