Software Version:	2.0.6470.17062
Unit SN:	AIO-M72-0210
Spectrometer SN:	5335
Date:	1/8/2018 11:54:58 AM
Data Line Index:	25
Spectral Points:	1941
Integration time (ms):	10000
Averages:	20
Delay (ms):	0
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	753
Laser Diode Temp (C):	25
Laser Case Temp (C):	22.7
System Temp (C):	23.6
Spectrometer Temp (C):	20.7
CCD Temp (C):	-0.003
Secondary Temp (C):	20.006
Heatsink Temp (C):	18.895
CCDPCB Temp (C):	37.663
SecondaryPCB Temp (C):	25.024

Wavelength	RamanShift	Raw Counts	Dark Subtracted
801.1299	250.3411	43421.3	41823.7
801.2731	252.571	42474.45	40934.45
801.4162	254.8003	41701.7	40150.8
801.5594	257.0291	40824	39235.2
801.7026	259.2572	39986.95	38386.5
801.8458	261.4848	39153	37546.85
801.989	263.7118	38377	36838.1
802.1322	265.9382	37565.65	35964.95
802.2755	268.1641	36796.1	35199.55
802.4187	270.3894	36077.25	34489.65
802.562	272.6141	35354.95	33762.3
802.7053	274.8382	34579.2	33027.85
802.8486	277.0617	33911.25	32352.25
802.9919	279.2847	33198.5	31690.95
803.1352	281.5071	32668.3	31063.4
803.2785	283.7289	32057.45	30445.25
803.4219	285.9501	31356.45	29816.55
803.5652	288.1707	30818.95	29271.1
803.7086	290.3908	30323.9	28728.5
803.852	292.6103	29874.1	28312.15
803.9954	294.8292	29352.35	27784.55
804.1388	297.0475	29283.95	27547.35
804.2823	299.2652	28801	27145.4
804.4257	301.4823	28423.45	26773.15
804.5692	303.6989	28145.45	26532.45
804.7126	305.9148	27861.95	26220.15
804.8561	308.1302	27410.55	25810.1
804.9996	310.345	27150.45	25526.55
805.1431	312.5592	26802.75	25250.1
805.2867	314.7728	26621.95	25064.3
805.4302	316.9859	26442.1	24757.05
805.5738	319.1983	26178.85	24568.05
805.7173	321.4101	25999.55	24397.35
805.8609	323.6214	26046.4	24266.85
806.0045	325.832	25765.75	24083.1
806.1481	328.0421	25628.75	24032.45
806.2917	330.2516	25535.55	23877.2
806.4353	332.4605	25446.35	23831.15
806.579	334.6688	25493.45	23780.95
806.7226	336.8764	25240.6	23677.2
806.8663	339.0835	25124.7	23575.6
807.01	341.2901	25257.9	23611.55
807.1536	343.496	25325.8	23591.5
807.2973	345.7013	25215.85	23628.35
807.4411	347.906	25234.65	23634.5
807.5848	350.1101	25301.05	23699.55
807.7285	352.3136	25426.25	23764.9
807.8723	354.5165	25393.4	23766.05
808.016	356.7188	25417.15	23772.2
808.1598	358.9206	25483.35	23831.7
808.3036	361.1217	25450.25	23795.15
808.4474	363.3222	25473.9	23796.65
808.5912	365.5221	25467.85	23789
808.735	367.7214	25426.4	23773.05
808.8788	369.9201	25613.15	23757.05
809.0227	372.1182	25650.6	23913.65
809.1665	374.3157	26349.3	24661.5
809.3104	376.5126	27774.35	26067.85
809.4543	378.7089	28588.55	26927.55
809.5982	380.9046	28197.85	26443.2
809.7421	383.0997	26810.05	25166.85
809.886	385.2941	25928.65	24237.3
810.0299	387.488	25475.8	23899.1
810.1739	389.6813	25351.5	23760.25
810.3178	391.8739	25289.7	23687.15
810.4618	394.0659	25227.8	23622.8
810.6057	396.2574	25340.35	23692.35
810.7497	398.4482	25399.65	23733.95
810.8937	400.6384	25509.8	23810.1
811.0377	402.828	25575.65	23912.35
811.1817	405.017	26090.25	24100.7
811.3257	407.2054	26188.45	24421
811.4698	409.3931	26559.2	24929.1
811.6138	411.5803	28406.4	26717.6
811.7579	413.7668	34087.15	32349.7
811.9019	415.9527	41158.95	39440.85
812.046	418.138	42955.9	41209.85
812.1901	420.3227	37509.4	35745.3
812.3342	422.5068	31728.85	29698.95
812.4783	424.6903	28699.7	26892.35
812.6224	426.8731	27846.55	26143.4
812.7666	429.0553	27893.55	26212.7
812.9107	431.2369	28251.65	26168.15
813.0549	433.4179	27385.05	25491.7
813.199	435.5983	26480.15	24781.75
813.3432	437.7781	25905.1	24289.6
813.4874	439.9572	25681.45	24019.95
813.6316	442.1357	25538.85	23926.8
813.7758	444.3136	25773.95	24130.3
813.92	446.4909	26229	24591.3
814.0642	448.6675	26943.25	24908.75
814.2084	450.8435	26551.1	24735.2
814.3527	453.0189	25875.5	24177.65
814.4969	455.1937	25504.05	23820.4
814.6412	457.3679	25265.7	23649.7
814.7854	459.5414	25064.05	23461
814.9297	461.7143	25134.85	23452.2
815.074	463.8866	25003.1	23368.25
815.2183	466.0582	24970.3	23280.85
815.3626	468.2293	24844.3	23132.4
815.5069	470.3997	24674.1	23001.85
815.6513	472.5694	24747.15	22959.1
815.7956	474.7386	24570.85	22846
815.9399	476.9071	24491.3	22767.55
816.0843	479.075	24779.65	22759.5
816.2287	481.2423	24566.05	22748.9
816.373	483.4089	24414.9	22730.5
816.5174	485.5749	24386.8	22620.8
816.6618	487.7403	24565.25	22570.65
816.8062	489.905	24189.25	22478.85
816.9506	492.0691	24083.45	22352.75
817.095	494.2326	23868.2	22219.05
817.2395	496.3954	23765.9	22118
817.3839	498.5576	23651.5	22003.7
817.5283	500.7192	23508.35	21844.45
817.6728	502.8801	23462.7	21776.5
817.8173	505.0405	23463.3	21692.4
817.9617	507.2001	23320.7	21617.85
818.1062	509.3592	23199.4	21557.15
818.2507	511.5176	23197.6	21444.65
818.3952	513.6753	23108	21360.25
818.5397	515.8325	22889.9	21234.4
818.6842	517.9889	22875.6	21236.7
818.8287	520.1448	22696.85	21065.5
818.9733	522.3	22741.5	20992.05
819.1178	524.4546	22653.8	20887.8
819.2623	526.6085	22506.6	20803.35
819.4069	528.7618	22407.65	20670.7
819.5514	530.9145	22324.5	20593.45
819.696	533.0665	22223	20551.65
819.8406	535.2179	22293.75	20458.2
819.9852	537.3686	22079.65	20330.5
820.1298	539.5187	22170.5	20310.35
820.2744	541.6682	21935	20204.5
820.419	543.817	21837.1	20085.25
820.5636	545.9651	21895.8	20041.75
820.7082	548.1126	21616.35	19903.3
820.8528	550.2595	21551.25	19774.75
820.9975	552.4058	21532.15	19712.15
821.1421	554.5513	21338.5	19594.95
821.2868	556.6963	21347.95	19572.1
821.4314	558.8406	21360.45	19528.95
821.5761	560.9842	21242	19480.95
821.7208	563.1272	21106.1	19425.05
821.8655	565.2696	21091.35	19429.15
822.0102	567.4113	21004.05	19346.15
822.1549	569.5524	21159.55	19530.15
822.2996	571.6928	21547.3	19899.25
822.4443	573.8325	22610.6	20935.5
822.589	575.9717	23800	21905.2
822.7337	578.1101	23701.7	21867.6
822.8785	580.2479	22559.4	20794.55
823.0232	582.3851	21594.95	19850.45
823.1679	584.5216	21032.95	19259.75
823.3127	586.6575	20833.4	19028.05
823.4574	588.7927	20714.55	18820.8
823.6022	590.9272	20453.15	18734.3
823.747	593.0611	20410.5	18635.4
823.8918	595.1944	20295	18555.3
824.0366	597.327	20198.15	18456.25
824.1813	599.4589	20102.2	18404.7
824.3261	601.5902	20007.65	18283.45
824.4709	603.7208	19973.95	18250.6
824.6158	605.8508	19948.35	18185.75
824.7606	607.9802	19831.3	18050.55
824.9054	610.1088	19796.45	18103.1
825.0502	612.2368	19769.15	18032
825.1951	614.3642	19705.6	18016.95
825.3399	616.4909	19678.25	17907.15
825.4848	618.6169	19691.45	17803.6
825.6296	620.7423	19516.8	17703.25
825.7745	622.867	19363.1	17654
825.9193	624.9911	19303	17582.95
